Case,SA?,RB?,Period,Fleet Size,Capacity,Dmd Rate,Service Rate,reqs served,of total reqs,wait time,inveh time,service dist,service time,service pct,rebl dist,rebl time,rebl pct,
BAL5,no,orp,10800,20,4,100,100,294,294,140.3618787,422.1871998,41486.97503,6914.495838,64.02310961,13231.09613,2205.182688,20.41835822,
BAL5,no,orp,10800,20,4,100,100,304,304,150.9115027,437.1208405,44570.16685,7428.361141,68.78112168,11642.01186,1940.33531,17.96606769,
BAL5,no,orp,10800,20,4,100,100,305,305,142.8215723,405.9094686,41547.36693,6924.561155,64.11630699,12600.93225,2100.155376,19.44588311,
BAL5,no,orp,10800,20,4,100,100,293,293,138.182621,375.4363115,38285.95047,6380.991745,59.08325689,13259.46783,2209.911305,20.46214171,
BAL5,no,orp,10800,20,4,100,100,321,321,138.9746639,418.0330563,43441.02192,7240.17032,67.03861407,12245.23473,2040.872454,18.89696717,
BAL5,no,orp,10800,20,4,100,100,304,304,147.5194394,387.0774636,41345.95934,6890.993223,63.80549281,12591.30512,2098.550854,19.43102643,
BAL5,no,orp,10800,20,4,100,100,289,289,155.1599444,396.1817312,40729.60525,6788.267541,62.85432909,12425.28115,2070.880192,19.17481659,
BAL5,no,orp,10800,20,4,100,100,270,270,138.8374069,394.8631576,36860.13837,6143.356396,56.88292959,13526.56859,2254.428098,20.87433424,
BAL5,no,orp,10800,20,4,100,100,305,305,147.9431106,429.1203457,43077.49899,7179.583165,66.4776219,12248.33894,2041.389823,18.90175762,
BAL5,no,orp,10800,20,4,100,100,294,294,145.3018563,394.5502584,41890.25531,6981.709218,64.64545573,11824.55219,1970.758698,18.24776572,
BAL5,no,orp,10800,20,4,100,100,303,303,146.9893226,391.7107551,41655.11459,6942.519098,64.28258424,13487.7034,2247.950567,20.81435711,
BAL5,no,orp,10800,20,4,100,100,310,310,158.0479646,434.4458282,46404.87166,7734.145277,71.61245627,11584.65462,1930.77577,17.87755343,
BAL5,no,orp,10800,20,4,100,100,269,269,142.2297315,414.0332043,38073.06062,6345.510104,58.75472318,12771.51665,2128.586108,19.70913063,
BAL5,no,orp,10800,20,4,100,100,252,252,131.4757472,382.1634213,36180.48835,6030.081391,55.83408695,14438.64473,2406.440788,22.28185914,
BAL5,no,orp,10800,20,4,100,100,287,287,153.2529749,398.2751781,40073.30546,6678.884244,61.84152077,13128.12207,2188.020345,20.25944764,
BAL5,no,orp,10800,20,4,100,100,327,327,159.3690188,392.9229803,44165.92012,7360.986687,68.15728414,11274.66164,1879.110273,17.3991692,
BAL5,no,orp,10800,20,4,100,100,332,332,143.7985192,407.668153,43458.73398,7243.122331,67.06594751,11463.06643,1910.511071,17.68991733,
BAL5,no,orp,10800,20,4,100,100,288,288,137.6966436,400.6619311,40503.47248,6750.578747,62.50535877,14200.22815,2366.704691,21.91393233,
BAL5,no,orp,10800,20,4,100,100,296,296,154.0861919,377.5219781,40376.5145,6729.419083,62.30943596,11928.2561,1988.042683,18.40780262,
BAL5,no,orp,10800,20,4,100,100,299,299,149.2494995,388.7287705,41017.0696,6836.178267,63.29794691,13019.71973,2169.953288,20.09216007,
BAL5,no,orp,10800,20,4,100,100,298,298,161.675581,437.4600943,43599.19283,7266.532137,67.28270498,12539.56198,2089.926997,19.3511759,
BAL5,no,orp,10800,20,4,100,100,295,295,142.3874524,415.2544839,40631.0289,6771.83815,62.70220509,12083.54273,2013.923788,18.64744248,
BAL5,no,orp,10800,20,4,100,100,318,318,150.4799828,421.4253504,44042.04784,7340.341306,67.9661232,12391.21593,2065.202655,19.1222468,
BAL5,no,orp,10800,20,4,100,100,262,262,137.17003,403.1302542,37097.13815,6182.856358,57.24866998,14271.5267,2378.587784,22.02396096,
BAL5,no,orp,10800,20,4,100,100,296,296,146.6419888,393.0108108,40877.77087,6812.961812,63.08297974,14146.68765,2357.781276,21.83130811,
BAL5,no,orp,10800,20,4,100,100,320,320,155.1814783,438.3421793,45540.10017,7590.016694,70.27793236,10766.10399,1794.350665,16.61435801,
BAL5,no,orp,10800,20,4,100,100,311,311,144.9125256,404.8007634,42630.91783,7105.152971,65.78845343,12383.14742,2063.857904,19.1097954,
BAL5,no,orp,10800,20,4,100,100,305,305,145.9846176,419.1338853,42926.44254,7154.407089,66.24451009,12551.73805,2091.956342,19.36996613,
BAL5,no,orp,10800,20,4,100,100,278,278,141.9274736,426.122427,39587.21618,6597.869364,61.091383,12621.85282,2103.642137,19.47816793,
BAL5,no,orp,10800,20,4,100,100,287,287,167.9982282,425.3295296,43024.99635,7170.832726,66.39659931,12494.61905,2082.436508,19.28181952,
BAL5,no,orp,10800,20,4,100,100,271,271,144.0529511,408.3416424,39264.97161,6544.161935,60.59409199,14062.46867,2343.744778,21.70134054,
,,,,,,,,,,146.2362406,406.988625,41545.39941,6924.233235,64.1132707,12548.65329,2091.442215,19.3652057,
BAL5,no,sar,10800,20,4,100,100,307,307,160.9780007,427.6745024,42501.06986,7083.511643,65.58807077,15670.24643,2611.707739,24.18247907, 
BAL5,no,sar,10800,20,4,100,100,309,309,147.9855091,388.6785626,40157.02118,6692.836864,61.9707117,17387.02295,2897.837157,26.83182553,
BAL5,no,sar,10800,20,4,100,100,292,292,143.9088802,397.8576441,38397.22642,6399.537737,59.25497905,19113.21505,3185.535842,29.49570225,
BAL5,no,sar,10800,20,4,100,100,269,269,149.6183568,418.6648016,37756.23423,6292.705705,58.26579357,19305.02992,3217.504986,29.79171284,
BAL5,no,sar,10800,20,4,100,100,288,288,149.6205083,396.0027738,41093.28287,6848.880479,63.41555999,16595.71684,2765.952806,25.61067413,
BAL5,no,sar,10800,20,4,100,100,325,325,151.3061636,373.4864298,41743.74237,6957.290395,64.41935551,15776.24253,2629.373756,24.34605329,
BAL5,no,sar,10800,20,4,100,100,317,317,165.5812507,417.7582153,43435.65861,7239.276435,67.03033736,14950.65195,2491.775325,23.07199375,
BAL5,no,sar,10800,20,4,100,100,293,293,166.223431,410.7005097,41134.09098,6855.68183,63.47853546,16127.60008,2687.933346,24.88827172,
BAL5,no,sar,10800,20,4,100,100,312,312,159.0579281,416.9562527,44734.75172,7455.791953,69.03511068,13487.20483,2247.867472,20.8135877,
BAL5,no,sar,10800,20,4,100,100,306,306,158.1848479,462.916307,42809.01451,7134.835752,66.063294,15177.27612,2529.546021,23.42172241,
BAL5,no,sar,10800,20,4,100,100,257,257,135.9433529,380.9306346,34560.30343,5760.050572,53.33380159,20992.10368,3498.683947,32.39522173,
BAL5,no,sar,10800,20,4,100,100,285,285,164.6844536,436.4589691,42713.78837,7118.964728,65.91634008,15619.44472,2603.240786,24.10408135,
BAL5,no,sar,10800,20,4,100,100,285,285,152.2204642,420.990133,40300.19871,6716.699785,62.19166468,17032.55631,2838.759386,26.28480913,
BAL5,no,sar,10800,20,4,100,100,288,288,151.2748752,400.6078788,39420.79471,6570.132452,60.83455974,17532.18747,2922.031246,27.05584487,
BAL5,no,sar,10800,20,4,100,100,323,323,169.0407388,442.3638331,45864.42118,7644.070196,70.77842774,13023.77412,2170.62902,20.09841686,
BAL5,no,sar,10800,20,4,100,100,295,295,144.2912374,406.7999776,39879.04787,6646.507978,61.54174054,17035.11238,2839.185397,26.28875367,
BAL5,no,sar,10800,20,4,100,100,295,295,146.0363025,415.0407485,41099.69386,6849.948977,63.42545349,16388.80542,2731.46757,25.29136639,
BAL5,no,sar,10800,20,4,100,100,315,315,168.217404,425.4974618,43407.47616,7234.57936,66.98684593,15345.36834,2557.56139,23.68112398,
BAL5,no,sar,10800,20,4,100,100,276,276,150.1104447,401.1931142,38882.85197,6480.475329,60.00440119,18092.69186,3015.448643,27.92082077,
BAL5,no,sar,10800,20,4,100,100,329,329,164.1444717,414.012827,42838.29296,7139.715494,66.1084768,15408.97321,2568.162201,23.77927964,
BAL5,no,sar,10800,20,4,100,100,276,276,153.2624761,414.6198847,40171.29801,6695.216335,61.99274384,16951.40302,2825.233836,26.15957255,
BAL5,no,sar,10800,20,4,100,100,290,290,152.9098329,419.5539489,41154.03817,6859.006362,63.50931816,16727.77013,2787.961688,25.81446008,
BAL5,no,sar,10800,20,4,100,100,289,289,149.3101958,426.3033216,38748.6309,6458.10515,59.79726991,18752.95766,3125.492943,28.93974947,
BAL5,no,sar,10800,20,4,100,100,303,303,148.440691,422.1654001,43248.71759,7208.119598,66.74184813,15308.57412,2551.42902,23.62434277,
